DEBUG:root:Episode 1    Average Score: 0.572    Current (avg) Score: 0.572 
DEBUG:root:Episode 2    Average Score: 0.575    Current (avg) Score: 0.578 
DEBUG:root:Episode 3    Average Score: 0.636    Current (avg) Score: 0.758 
DEBUG:root:Episode 4    Average Score: 0.677    Current (avg) Score: 0.800 
DEBUG:root:Episode 5    Average Score: 0.707    Current (avg) Score: 0.828 
DEBUG:root:Episode 6    Average Score: 0.703    Current (avg) Score: 0.681 
DEBUG:root:Episode 7    Average Score: 0.697    Current (avg) Score: 0.660 
DEBUG:root:Episode 8    Average Score: 0.697    Current (avg) Score: 0.695 
DEBUG:root:Episode 9    Average Score: 0.698    Current (avg) Score: 0.712 
DEBUG:root:Episode 10   Average Score: 0.720    Current (avg) Score: 0.913 
DEBUG:root:Episode 11   Average Score: 0.726    Current (avg) Score: 0.788 
DEBUG:root:Episode 12   Average Score: 0.732    Current (avg) Score: 0.798 
DEBUG:root:Episode 13   Average Score: 0.758    Current (avg) Score: 1.074 
DEBUG:root:Episode 14   Average Score: 0.793    Current (avg) Score: 1.240 
DEBUG:root:Episode 15   Average Score: 0.825    Current (avg) Score: 1.271 
DEBUG:root:Episode 16   Average Score: 0.843    Current (avg) Score: 1.111 
DEBUG:root:Episode 17   Average Score: 0.872    Current (avg) Score: 1.334 
DEBUG:root:Episode 18   Average Score: 0.901    Current (avg) Score: 1.408 
DEBUG:root:Episode 19   Average Score: 0.947    Current (avg) Score: 1.761 
DEBUG:root:Episode 20   Average Score: 0.979    Current (avg) Score: 1.586 
DEBUG:root:Episode 21   Average Score: 1.008    Current (avg) Score: 1.604 
DEBUG:root:Episode 22   Average Score: 1.026    Current (avg) Score: 1.386 
DEBUG:root:Episode 23   Average Score: 1.059    Current (avg) Score: 1.790 
DEBUG:root:Episode 24   Average Score: 1.095    Current (avg) Score: 1.930 
DEBUG:root:Episode 25   Average Score: 1.122    Current (avg) Score: 1.774 
DEBUG:root:Episode 26   Average Score: 1.160    Current (avg) Score: 2.111 
DEBUG:root:Episode 27   Average Score: 1.197    Current (avg) Score: 2.164 
DEBUG:root:Episode 28   Average Score: 1.229    Current (avg) Score: 2.094 
DEBUG:root:Episode 29   Average Score: 1.259    Current (avg) Score: 2.094 
DEBUG:root:Episode 30   Average Score: 1.292    Current (avg) Score: 2.242 
DEBUG:root:Episode 31   Average Score: 1.334    Current (avg) Score: 2.579 
DEBUG:root:Episode 32   Average Score: 1.375    Current (avg) Score: 2.668 
DEBUG:root:Episode 33   Average Score: 1.423    Current (avg) Score: 2.943 
DEBUG:root:Episode 34   Average Score: 1.471    Current (avg) Score: 3.061 
